Time,Current(A),Voltage(V),Pressure(kg),RopeLength(m),EncoderValue,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVelocity(m/s),MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
16:57:35.292895,0.000,0.000,0.040,-0.123,2147483066,188743616.000,0.000,0.000,-132.234,-0.000,-0.000
16:57:35.292931,0.000,0.000,0.040,-0.123,2147483066,188743616.000,0.000,0.000,-132.234,-0.000,-0.000
16:57:35.598110,0.000,0.000,0.040,-0.123,2147483066,188743616.000,0.000,0.000,-132.234,-0.000,-0.000
16:57:35.598178,0.000,0.000,0.040,-0.123,2147483066,188743616.000,0.000,0.000,-132.234,-0.000,-0.000
16:57:35.903080,0.000,0.000,0.050,-0.123,2147483066,188743616.000,0.000,0.000,-132.234,-0.000,-0.000
16:57:35.903113,0.000,0.000,0.050,-0.123,2147483066,188743616.000,0.000,0.000,-132.234,-0.000,-0.000
16:57:36.208432,0.000,0.000,0.010,-0.123,2147483061,188743616.000,0.000,0.000,-132.235,-0.000,-0.000
16:57:36.208460,0.000,0.000,0.010,-0.123,2147483061,188743616.000,0.000,0.000,-132.235,-0.000,-0.000
16:57:36.513260,0.000,0.000,-0.360,-0.138,2147482874,188743616.000,0.000,0.000,-132.240,-0.000,-0.000
16:57:36.513287,0.000,0.000,-0.360,-0.138,2147482874,188743616.000,0.000,0.000,-132.240,-0.003,-0.001
16:57:36.757702,0.000,0.000,-0.350,-0.165,2147482516,188743584.000,1.000,0.003,-132.238,-0.003,-0.001
16:57:36.757740,0.000,0.000,-0.350,-0.165,2147482516,188743584.000,1.000,0.003,-132.238,-0.003,-0.001
16:57:37.061484,0.000,0.000,-0.300,-0.207,2147481966,188743536.000,7.000,0.024,-132.205,-0.034,-0.007
16:57:37.061773,0.000,0.000,-0.300,-0.207,2147481966,188743536.000,7.000,0.024,-132.205,-0.064,-0.020
16:57:37.366324,0.000,0.000,-0.240,-0.254,2147481359,188743472.000,21.000,0.073,-132.101,-0.064,-0.020
16:57:37.366362,0.000,0.000,-0.240,-0.254,2147481359,188743472.000,21.000,0.073,-132.101,-0.115,-0.043
16:57:37.671090,0.000,0.000,0.040,-0.288,2147480911,188743440.000,29.000,0.101,-131.961,-0.115,-0.043
16:57:37.671119,0.000,0.000,0.040,-0.288,2147480911,188743440.000,29.000,0.101,-131.961,-0.134,-0.070
16:57:37.976032,0.000,0.000,0.170,-0.281,2147481004,188743440.000,33.000,0.115,-131.785,-0.134,-0.070
16:57:37.976061,0.000,0.000,0.170,-0.281,2147481004,188743440.000,33.000,0.115,-131.785,-0.110,-0.091
16:57:38.280822,0.000,0.000,0.150,-0.251,2147481394,188743472.000,30.000,0.105,-131.637,-0.110,-0.091
16:57:38.280846,0.000,0.000,0.150,-0.251,2147481394,188743472.000,30.000,0.105,-131.637,-0.030,-0.090
16:57:38.585749,0.000,0.000,0.230,-0.214,2147481875,188743520.000,16.000,0.056,-131.548,-0.030,-0.090
16:57:38.585785,0.000,0.000,0.230,-0.214,2147481875,188743520.000,16.000,0.056,-131.548,0.038,-0.070
16:57:38.890661,0.000,0.000,0.280,-0.172,2147482426,188743568.000,1.000,0.003,-131.538,0.038,-0.070
16:57:38.890698,0.000,0.000,0.280,-0.172,2147482426,188743568.000,1.000,0.003,-131.538,0.081,-0.031
16:57:39.195900,0.000,0.000,0.220,-0.123,2147483069,188743616.000,-17.000,-0.059,-131.605,0.081,-0.031
16:57:39.195935,0.000,0.000,0.220,-0.123,2147483069,188743616.000,-17.000,-0.059,-131.605,0.113,0.019
16:57:39.500639,0.000,0.000,0.070,-0.082,2147483605,188743680.000,-34.000,-0.119,-131.786,0.113,0.019
16:57:39.500663,0.000,0.000,0.070,-0.082,2147483605,188743680.000,-34.000,-0.119,-131.786,0.137,0.068
16:57:39.805756,0.000,0.000,-0.240,-0.081,2147483620,188743680.000,-41.000,-0.143,-131.990,0.137,0.068
16:57:39.805783,0.000,0.000,-0.240,-0.081,2147483620,188743680.000,-41.000,-0.143,-131.990,0.127,0.099
16:57:40.110559,0.000,0.000,-0.370,-0.124,2147483057,188743616.000,-32.000,-0.112,-132.157,0.127,0.099
16:57:40.110623,0.000,0.000,-0.370,-0.124,2147483057,188743616.000,-32.000,-0.112,-132.157,0.045,0.101
16:57:40.235534,0.000,0.000,-0.360,-0.147,2147482751,188743600.000,-21.000,-0.073,-132.192,0.045,0.101
16:57:40.235563,0.000,0.000,-0.360,-0.147,2147482751,188743600.000,-21.000,-0.073,-132.192,0.045,0.101
16:57:40.415978,0.000,0.000,-0.330,-0.184,2147482271,188743552.000,-15.000,-0.052,-132.232,0.045,0.101
16:57:40.416043,0.000,0.000,-0.330,-0.184,2147482271,188743552.000,-15.000,-0.052,-132.232,-0.059,0.073
16:57:40.720866,0.000,0.000,-0.290,-0.249,2147481422,188743488.000,3.000,0.010,-132.226,-0.059,0.073
16:57:40.720954,0.000,0.000,-0.290,-0.249,2147481422,188743488.000,3.000,0.010,-132.226,-0.131,0.024
16:57:40.785858,0.000,0.000,-0.250,-0.264,2147481225,188743472.000,7.000,0.024,-132.208,-0.131,0.024
16:57:40.785893,0.000,0.000,-0.250,-0.264,2147481225,188743472.000,7.000,0.024,-132.208,-0.131,0.024
16:57:40.805918,0.000,0.000,-0.250,-0.264,2147481225,188743472.000,7.000,0.024,-132.208,-0.131,0.024
16:57:40.825997,0.000,0.000,-0.250,-0.264,2147481225,188743472.000,7.000,0.024,-132.208,-0.131,0.024
16:57:40.966232,0.000,0.000,-0.170,-0.299,2147480778,188743440.000,27.000,0.094,-132.115,-0.172,-0.038
16:57:40.966267,0.000,0.000,-0.170,-0.299,2147480778,188743440.000,27.000,0.094,-132.115,-0.172,-0.038
16:57:41.270357,0.000,0.000,0.150,-0.334,2147480316,188743392.000,48.000,0.168,-131.877,-0.172,-0.038
16:57:41.270391,0.000,0.000,0.150,-0.334,2147480316,188743392.000,48.000,0.168,-131.877,-0.176,-0.099
16:57:41.451367,0.000,0.000,0.220,-0.331,2147480349,188743392.000,52.000,0.182,-131.720,-0.176,-0.099
16:57:41.451401,0.000,0.000,0.220,-0.331,2147480349,188743392.000,52.000,0.182,-131.720,-0.130,-0.134
16:57:41.755029,0.000,0.000,0.220,-0.286,2147480948,188743440.000,42.000,0.147,-131.508,-0.130,-0.134
16:57:41.755057,0.000,0.000,0.220,-0.286,2147480948,188743440.000,42.000,0.147,-131.508,-0.028,-0.127
16:57:42.060870,0.000,0.000,0.220,-0.231,2147481658,188743504.000,16.000,0.056,-131.428,-0.028,-0.127
16:57:42.060905,0.000,0.000,0.220,-0.231,2147481658,188743504.000,16.000,0.056,-131.428,0.064,-0.088
16:57:42.366425,0.000,0.000,0.200,-0.176,2147482375,188743568.000,-2.000,-0.007,-131.426,0.064,-0.088
16:57:42.366455,0.000,0.000,0.200,-0.176,2147482375,188743568.000,-2.000,-0.007,-131.426,0.122,-0.029
16:57:42.671128,0.000,0.000,0.150,-0.123,2147483063,188743616.000,-28.000,-0.098,-131.562,0.122,-0.029
16:57:42.671153,0.000,0.000,0.150,-0.123,2147483063,188743616.000,-28.000,-0.098,-131.562,0.150,0.036
16:57:42.976424,0.000,0.000,-0.090,-0.088,2147483528,188743664.000,-46.000,-0.161,-131.790,0.150,0.036
16:57:42.976455,0.000,0.000,-0.090,-0.088,2147483528,188743664.000,-46.000,-0.161,-131.790,0.159,0.094
16:57:43.281113,0.000,0.000,-0.380,-0.107,2147483278,188743648.000,-48.000,-0.168,-132.040,0.159,0.094
16:57:43.281138,0.000,0.000,-0.380,-0.107,2147483278,188743648.000,-48.000,-0.168,-132.040,0.122,0.123
16:57:43.586500,0.000,0.000,-0.380,-0.170,2147482461,188743584.000,-33.000,-0.115,-132.216,0.122,0.123
16:57:43.586533,0.000,0.000,-0.380,-0.170,2147482461,188743584.000,-33.000,-0.115,-132.216,0.007,0.112
16:57:43.891403,0.000,0.000,-0.260,-0.242,2147481518,188743488.000,-7.000,-0.024,-132.253,0.007,0.112
16:57:43.891430,0.000,0.000,-0.260,-0.242,2147481518,188743488.000,-7.000,-0.024,-132.253,-0.106,0.066
16:57:44.196203,0.000,0.000,-0.120,-0.304,2147480713,188743424.000,13.000,0.045,-132.199,-0.106,0.066
16:57:44.196230,0.000,0.000,-0.120,-0.304,2147480713,188743424.000,13.000,0.045,-132.199,-0.171,0.002
16:57:44.500817,0.000,0.000,-0.110,-0.342,2147480215,188743376.000,39.000,0.136,-131.998,-0.171,0.002
16:57:44.500849,0.000,0.000,-0.110,-0.342,2147480215,188743376.000,39.000,0.136,-131.998,-0.179,-0.065
16:57:44.625265,0.000,0.000,-0.070,-0.350,2147480113,188743360.000,47.000,0.164,-131.898,-0.179,-0.065
16:57:44.625307,0.000,0.000,-0.070,-0.350,2147480113,188743360.000,47.000,0.164,-131.898,-0.179,-0.065
16:57:44.805710,0.000,0.000,-0.050,-0.352,2147480078,188743360.000,53.000,0.185,-131.726,-0.179,-0.065
16:57:44.805774,0.000,0.000,-0.050,-0.352,2147480078,188743360.000,53.000,0.185,-131.726,-0.179,-0.065
16:57:45.111174,0.000,0.000,-0.010,-0.346,2147480159,188743376.000,49.000,0.171,-131.483,-0.142,-0.118
16:57:45.111210,0.000,0.000,-0.010,-0.346,2147480159,188743376.000,49.000,0.171,-131.483,-0.078,-0.135
16:57:45.415990,0.000,0.000,0.000,-0.343,2147480198,188743376.000,34.000,0.119,-131.308,-0.078,-0.135
16:57:45.416016,0.000,0.000,0.000,-0.343,2147480198,188743376.000,34.000,0.119,-131.308,-0.078,-0.135
16:57:45.720872,0.000,0.000,0.000,-0.343,2147480195,188743376.000,17.000,0.059,-131.219,-0.029,-0.120
16:57:45.723539,0.000,0.000,0.000,-0.343,2147480195,188743376.000,17.000,0.059,-131.219,-0.011,-0.088
16:57:46.025674,0.000,0.000,0.000,-0.343,2147480196,188743376.000,6.000,0.021,-131.187,-0.011,-0.088
