Time                ,Current(A)  ,Voltage(V)  ,Pressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
19:42:01.230940     ,0.000       ,0.000       ,0.000       ,0.000         ,2147480777    ,107.666         ,0.000         ,0.000               ,-143.003        ,0.000             ,0.000                 
19:42:01.257593     ,0.000       ,0.000       ,0.000       ,0.000         ,2147480777    ,107.666         ,0.000         ,0.000               ,-143.003        ,0.000             ,0.000                 
19:42:01.275282     ,0.000       ,0.000       ,0.000       ,0.000         ,2147480777    ,107.666         ,0.000         ,0.000               ,-143.003        ,0.000             ,0.000                 
19:42:01.293079     ,0.000       ,0.000       ,0.000       ,0.000         ,2147480777    ,107.666         ,0.000         ,0.000               ,-143.003        ,0.000             ,0.000                 
19:42:01.319755     ,0.000       ,0.000       ,0.000       ,0.000         ,2147480777    ,107.666         ,0.000         ,0.000               ,-143.003        ,0.000             ,0.000                 
19:42:01.337435     ,0.000       ,0.000       ,0.000       ,0.000         ,2147480777    ,107.666         ,0.000         ,0.000               ,-143.003        ,0.000             ,0.000                 
19:42:01.355217     ,0.000       ,0.000       ,0.000       ,0.000         ,2147480777    ,107.666         ,0.000         ,0.000               ,-143.003        ,0.000             ,0.000                 
19:42:01.373160     ,0.000       ,0.000       ,0.000       ,0.000         ,2147480777    ,107.666         ,0.000         ,0.000               ,-143.003        ,0.000             ,0.000                 
19:42:01.399713     ,0.000       ,0.000       ,0.000       ,0.000         ,2147480777    ,107.666         ,0.000         ,0.000               ,-143.003        ,0.000             ,0.000                 
19:42:01.417547     ,0.000       ,0.000       ,0.000       ,0.000         ,2147480777    ,107.666         ,0.000         ,0.000               ,-143.003        ,0.000             ,0.000                 
19:42:01.435748     ,0.000       ,0.000       ,0.000       ,0.000         ,2147480777    ,107.666         ,0.000         ,0.000               ,-143.003        ,0.000             ,0.000                 
19:42:01.453579     ,0.000       ,0.000       ,0.000       ,0.000         ,2147480777    ,107.666         ,0.000         ,0.000               ,-143.003        ,0.000             ,0.000                 
19:42:01.480364     ,0.000       ,0.000       ,0.000       ,0.000         ,2147480777    ,107.666         ,0.000         ,0.000               ,-143.003        ,0.000             ,0.000                 
19:42:01.498272     ,0.000       ,0.000       ,0.000       ,0.000         ,2147480777    ,107.666         ,0.000         ,0.000               ,-143.003        ,0.000             ,0.000                 
19:42:01.516198     ,0.000       ,0.000       ,0.000       ,0.000         ,2147480777    ,107.666         ,0.000         ,0.000               ,-143.003        ,0.000             ,0.000                 
19:42:01.534113     ,0.000       ,0.000       ,0.000       ,0.000         ,2147480777    ,107.666         ,0.000         ,0.000               ,-143.003        ,0.000             ,0.000                 
19:42:01.560717     ,0.000       ,0.000       ,0.000       ,0.000         ,2147480777    ,107.666         ,0.000         ,0.000               ,-143.003        ,0.000             ,0.000                 
19:42:01.578466     ,0.000       ,0.000       ,0.000       ,0.000         ,2147480777    ,107.666         ,0.000         ,0.000               ,-143.003        ,0.000             ,0.000                 
19:42:01.596370     ,0.000       ,0.000       ,0.000       ,0.000         ,2147480777    ,107.666         ,0.000         ,0.000               ,-143.003        ,0.000             ,0.000                 
19:42:01.614284     ,0.000       ,0.000       ,0.000       ,0.000         ,2147480777    ,107.666         ,0.000         ,0.000               ,-143.003        ,0.000             ,0.000                 
