Time                ,Current(A)  ,Voltage(V)  ,Pressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
10:54:57.679912     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:57.697852     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:57.715748     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:57.733823     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:57.760306     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:57.778010     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:57.795842     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:57.813706     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:57.840670     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:57.858784     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:57.876715     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:57.894484     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:57.921024     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:57.938849     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:57.956540     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:57.974460     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:58.000970     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:58.018709     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:58.036439     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:58.054401     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:58.080812     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:58.098713     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:58.116539     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:58.134365     ,0.000       ,0.000       ,-0.020      ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:58.161076     ,0.000       ,0.000       ,-0.020      ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:58.178980     ,0.000       ,0.000       ,-0.020      ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:58.196707     ,0.000       ,0.000       ,-0.020      ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:58.214620     ,0.000       ,0.000       ,-0.020      ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:58.241258     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:58.258988     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:58.276762     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:58.294878     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:58.321424     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:58.339184     ,0.000       ,0.000       ,-0.020      ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:58.357167     ,0.000       ,0.000       ,-0.020      ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:58.383932     ,0.000       ,0.000       ,-0.020      ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:58.401885     ,0.000       ,0.000       ,-0.020      ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:58.419581     ,0.000       ,0.000       ,-0.020      ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:58.437503     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:58.464200     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:58.481890     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
10:54:58.499810     ,0.000       ,0.000       ,0.000       ,0.000         ,2147482084    ,222.539         ,0.000         ,0.000               ,-0.000              ,-142.797        ,0.000             ,0.000                 
